,Program Adı,Alt Program Adı,Faaliyet Adı,Kurum/Birim,Alt Faaliyet Adı,Finansman,Ekonomik,Tertip,İşlemler,2022,2023,2024,2021 YSHT,2022 Tavan Üstü,2021 KBÖ
-> Sosyal Güvenlik Kurumuna Ar-Ge Teşvik Ödemeleri,,,,,,,,,,0.00,0.00,"1,350,442,000.00",0.00,0.00,"672,014,000.00"
,"ARAŞTIRMA, GELİŞTİRME VE YENİLİK",ARAŞTIRMA VE GELİŞTİRMEYE YÖNELİK İSTİHDAM DESTEKLERİ,Sosyal Güvenlik Kurumuna Ar-Ge Teşvik Ödemeleri,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Sosyal Güvenlik Kurumuna Ar-Ge Teşvik Ödemeleri,Genel Bütçeli İdareler,Sosyal Güvenlik Kurumuna Ar-Ge Personeli İşveren Prim Teşviki Karşılığı Yapılan Ödemeler,56.255.776.7758-0012.0032-01-05.01.20.10,,"1,224,884,000.00","1,286,133,000.00","1,350,442,000.00",0.00,0.00,"672,014,000.00"
-> Tanıtma Fonuna Verilen Paylar,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,"95,125,000.00"
,BİLGİ VE İLETİŞİM,KAMU DİPLOMASİSİ VE STRATEJİK İLETİŞİM,Tanıtma Fonuna Verilen Paylar,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Tanıtma Fonuna Verilen Paylar,Genel Bütçeli İdareler,Tanıtma Fonuna Verilen Paylar,15.123.812.7007-0012.0032-01-05.08.60.03,,0.00,0.00,0.00,0.00,0.00,"95,125,000.00"
-> Demiryolu Sektörünün Kamu Sermayeli Kuruluşlar Aracılığıyla Geliştirilmesi,,,,,,,,,,0.00,0.00,"26,550,000,000.00",0.00,0.00,"17,888,239,000.00"
,DEMİRYOLU ULAŞIMI,DEMİRYOLU ULAŞIM ALTYAPISININ VE TAŞIMACILIK SEKTÖRÜNÜN GELİŞTİRİLMESİ İLE İŞLETİLMESİ,Demiryolu Sektörünün Kamu Sermayeli Kuruluşlar Aracılığıyla Geliştirilmesi,KAMU SERMAYELİ KURULUŞ VE İŞLETMELER GENEL MÜDÜRLÜĞÜ,Demiryolu Sektörünün Kamu Sermayeli Kuruluşlar Aracılığıyla Geliştirilmesi (TCDD),Genel Bütçeli İdareler,T.C. Devlet Demiryolları'na,64.243.796.7000-0012.0040-01-08.01.60.01,,"23,070,000,000.00","24,870,000,000.00","25,875,000,000.00",0.00,0.00,"16,588,289,000.00"
,DEMİRYOLU ULAŞIMI,DEMİRYOLU ULAŞIM ALTYAPISININ VE TAŞIMACILIK SEKTÖRÜNÜN GELİŞTİRİLMESİ İLE İŞLETİLMESİ,Demiryolu Sektörünün Kamu Sermayeli Kuruluşlar Aracılığıyla Geliştirilmesi,KAMU SERMAYELİ KURULUŞ VE İŞLETMELER GENEL MÜDÜRLÜĞÜ,TÜRASAŞ,Genel Bütçeli İdareler,Türkiye Raylı Sistem Araçları Sanayii A.Ş.’ye,64.243.796.14972-0012.0040-01-08.01.60.25,,"605,000,000.00","255,000,000.00","675,000,000.00",0.00,0.00,"1,299,950,000.00"
-> Ulaştırma ve Altyapı Bakanlığı Döner Sermaye İşletmesine Verilen Paylar,,,,,,,,,,0.00,0.00,"21,594,000.00",0.00,0.00,0.00
,DENİZYOLU ULAŞIMI,DENİZYOLU ULAŞIM ALTYAPISI VE TAŞIMACILIK SEKTÖRÜNÜN GELİŞTİRİLMESİ,Ulaştırma ve Altyapı Bakanlığı Döner Sermaye İşletmesine Verilen Paylar,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Ulaştırma ve Altyapı Bakanlığı Döner Sermaye İşletmesine Verilen Paylar,Genel Bütçeli İdareler,Döner Sermayelere Verilen Paylar,65.245.875.17130-0012.0032-01-05.08.70.01,,"16,700,000.00","19,310,000.00","21,594,000.00",0.00,0.00,0.00
"-> Elektrik Üretimi, İletimi, Dağıtımı ve Ticaretine İlişkin Faaliyetler",,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00
